Student_ID,Age,Gender,Parental_Education,Study_Hours_Per_Week,Attendance_Rate,Past_Exam_Score,Internal_Assessment_Score,Assignment_Completion_Rate,Tutoring_Classes,Internet_Access,Extracurricular_Activities,Sleep_Hours_Per_Day,Final_Score,Performance_Category,Passed,Attendance_Group,Study_Hours_Group,Risk_Level,Grade_Point
STU1001,19,Female,Bachelor,9.4,74.2,63.4,23.6,77.7,Yes,Yes,No,6.9,63.0,Pass,Yes,Moderate (65-75%),Medium (8-16 hrs),Moderate Risk,6.3
STU1002,22,Male,High School,11.5,80.4,76.4,28.5,80.8,Yes,Yes,Yes,8.3,68.4,Merit,Yes,Good (75-85%),Medium (8-16 hrs),Low Risk,6.84
STU1003,20,Male,Bachelor,20.4,82.9,76.6,37.3,71.7,No,Yes,No,5.9,77.7,Merit,Yes,Good (75-85%),High (>16 hrs),Low Risk,7.77
STU1004,19,Male,High School,27.0,81.1,71.9,37.1,85.0,No,Yes,Yes,5.6,76.0,Merit,Yes,Good (75-85%),High (>16 hrs),Low Risk,7.6
STU1005,18,Male,High School,12.7,81.9,42.4,18.3,83.9,No,Yes,Yes,7.0,53.5,Pass,Yes,Good (75-85%),Medium (8-16 hrs),Moderate Risk,5.35
STU1006,18,Female,Diploma,14.8,54.1,64.1,27.1,51.1,Yes,No,Yes,6.7,52.7,Pass,Yes,Critical (<65%),Medium (8-16 hrs),High Risk,5.27
STU1007,18,Female,Diploma,9.9,69.8,78.6,32.5,76.3,No,Yes,Yes,7.7,65.8,Merit,Yes,Moderate (65-75%),Medium (8-16 hrs),Low Risk,6.58
STU1008,21,Male,Bachelor,12.7,82.6,71.2,28.0,73.3,No,Yes,No,8.0,63.0,Pass,Yes,Good (75-85%),Medium (8-16 hrs),Moderate Risk,6.3
STU1009,20,Male,Bachelor,10.1,54.6,67.5,34.4,49.8,Yes,Yes,No,7.8,60.1,Pass,Yes,Critical (<65%),Medium (8-16 hrs),High Risk,6.01
STU1010,20,Female,Bachelor,12.1,41.6,69.6,30.0,52.3,Yes,No,No,7.0,57.4,Pass,Yes,Critical (<65%),Medium (8-16 hrs),High Risk,5.74
STU1011,18,Male,Diploma,11.2,66.7,69.4,32.3,69.8,Yes,No,Yes,7.6,60.5,Pass,Yes,Moderate (65-75%),Medium (8-16 hrs),Moderate Risk,6.05
STU1012,22,Male,Bachelor,26.8,91.8,37.5,12.0,76.2,Yes,Yes,Yes,5.3,51.8,Pass,Yes,Excellent (>85%),High (>16 hrs),Moderate Risk,5.18
STU1013,21,Male,Bachelor,18.1,74.3,81.2,40.0,68.4,No,Yes,No,8.2,71.6,Merit,Yes,Moderate (65-75%),High (>16 hrs),Low Risk,7.16
STU1014,18,Female,Diploma,10.7,62.9,63.5,30.6,73.9,Yes,Yes,Yes,6.6,58.9,Pass,Yes,Critical (<65%),Medium (8-16 hrs),Moderate Risk,5.89
STU1015,18,Female,Bachelor,12.1,93.2,74.9,29.0,88.8,No,Yes,No,9.2,60.7,Pass,Yes,Excellent (>85%),Medium (8-16 hrs),Moderate Risk,6.07
STU1016,18,Male,Master,16.1,54.3,32.7,15.6,62.6,No,Yes,No,8.2,45.1,At-Risk,No,Critical (<65%),High (>16 hrs),High Risk,4.51
STU1017,19,Male,High School,6.4,87.5,88.3,39.8,75.5,Yes,No,Yes,6.8,65.8,Merit,Yes,Excellent (>85%),Low (<8 hrs),Low Risk,6.58
STU1018,19,Female,Master,13.8,74.9,48.8,20.4,64.0,No,No,No,7.0,52.1,Pass,Yes,Moderate (65-75%),Medium (8-16 hrs),Moderate Risk,5.21
STU1019,19,Female,High School,17.6,50.4,98.0,33.9,50.8,Yes,Yes,No,8.3,73.8,Merit,Yes,Critical (<65%),High (>16 hrs),High Risk,7.38
STU1020,19,Male,Diploma,16.5,80.7,94.7,40.3,71.5,No,Yes,No,4.5,74.3,Merit,Yes,Good (75-85%),High (>16 hrs),Low Risk,7.43
STU1021,20,Female,Diploma,8.2,74.3,46.5,22.0,66.7,Yes,Yes,Yes,6.8,55.2,Pass,Yes,Moderate (65-75%),Medium (8-16 hrs),Moderate Risk,5.52
STU1022,18,Male,Bachelor,9.1,75.1,76.4,32.5,66.4,No,Yes,Yes,8.9,66.0,Merit,Yes,Good (75-85%),Medium (8-16 hrs),Low Risk,6.6
STU1023,19,Male,High School,3.6,82.6,50.8,22.1,79.3,No,Yes,Yes,7.9,54.0,Pass,Yes,Good (75-85%),Low (<8 hrs),Moderate Risk,5.4
STU1024,19,Female,Master,18.5,77.5,56.0,30.4,70.8,No,Yes,Yes,6.1,65.8,Merit,Yes,Good (75-85%),High (>16 hrs),Low Risk,6.58
STU1025,19,Male,Bachelor,32.4,86.8,56.4,25.1,87.2,No,Yes,Yes,7.3,73.4,Merit,Yes,Excellent (>85%),High (>16 hrs),Low Risk,7.34
STU1026,20,Female,Bachelor,7.6,74.5,71.3,24.7,65.8,No,Yes,No,5.9,65.2,Merit,Yes,Moderate (65-75%),Low (<8 hrs),Low Risk,6.52
STU1027,18,Male,Diploma,21.7,96.9,69.5,30.6,87.1,No,Yes,No,6.6,77.8,Merit,Yes,Excellent (>85%),High (>16 hrs),Low Risk,7.78
STU1028,19,Male,Master,30.9,73.0,48.2,22.0,61.4,No,Yes,No,7.4,58.9,Pass,Yes,Moderate (65-75%),High (>16 hrs),Moderate Risk,5.89
STU1029,19,Female,Bachelor,10.0,88.7,71.2,29.2,81.7,No,Yes,Yes,7.6,70.2,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,7.02
STU1030,18,Male,Diploma,12.1,87.8,62.1,30.5,72.6,No,Yes,No,7.8,66.4,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,6.64
STU1031,20,Female,Bachelor,14.6,73.9,39.5,12.7,81.3,Yes,Yes,Yes,8.4,50.6,Pass,Yes,Moderate (65-75%),Medium (8-16 hrs),Moderate Risk,5.06
STU1032,18,Male,Bachelor,16.2,65.8,58.9,26.0,71.9,No,Yes,No,5.7,56.9,Pass,Yes,Moderate (65-75%),High (>16 hrs),Moderate Risk,5.69
STU1033,18,Male,Bachelor,15.0,91.3,88.2,34.5,83.7,No,Yes,No,7.0,76.7,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,7.67
STU1034,22,Male,Diploma,10.4,88.6,59.4,25.7,73.8,No,Yes,No,6.1,58.1,Pass,Yes,Excellent (>85%),Medium (8-16 hrs),Moderate Risk,5.81
